agency_id,stop_id,agency_stop_id
275,740001617,5310
275,740073552,80837
275,740071255,52841
275,740071314,72241
275,740071681,12418
275,740071466,15490
275,740071467,66017
275,740071468,66019
275,740071574,75937
275,740067103,62248
275,740021677,3271
275,740012885,3471
275,740071133,50899
275,740071497,57822
275,740071315,40399
275,740000779,61011
275,740076292,61060
275,740076646,62445
275,740076626,75567
275,740076627,75662
275,740071624,50031
275,740076201,70362
275,740076204,73050
275,740076203,73051
275,740077141,73052
275,740077140,73053
275,740077143,73054
275,740076202,73055
275,740073619,57029
275,740064376,8011
275,740071313,63073
275,740071883,42016
275,740071884,42018
275,740000027,57032
275,740011060,10885
275,740072077,13150
275,740072796,61794
275,740073604,84031
275,740072465,10410
275,740072737,10505
275,740067817,62685
275,740067818,62687
275,740067819,62689
275,740067820,62691
275,740067821,62693
275,740067822,62695
275,740067823,62697
275,740067824,62699
275,740067825,62701
275,740067826,62703
275,740020574,62705
275,740067827,62707
275,740067828,62709
275,740067829,62711
275,740067830,62715
275,740067831,62717
275,740067832,62719
275,740067833,62721
275,740045776,62801
275,740067834,62803
275,740067835,62807
275,740045688,62825
275,740067836,62827
275,740067837,62980
275,740067838,62984
275,740067839,62986
275,740045695,62992
275,740067842,63001
275,740067843,63003
275,740067844,63005
275,740045802,63007
275,740067845,63009
275,740067846,63011
275,740067847,63013
275,740067848,63015
275,740046066,10312
275,740046067,10314
275,740046068,10315
275,740018280,10316
275,740010947,10327
275,740045404,10329
275,740045457,10332
275,740045460,10333
275,740063007,10339
275,740012127,10346
275,740046072,10355
275,740046073,10357
275,740046074,10359
275,740021665,10363
275,740046075,10367
275,740021661,10369
275,740046077,10371
275,740046078,10373
275,740046079,10375
275,740046080,10377
275,740046081,10379
275,740046082,10381
275,740046083,10383
275,740046084,10385
275,740046085,10387
275,740046086,10389
275,740046088,10395
275,740046089,10397
275,740046090,10401
275,740046091,10403
275,740066954,51489
275,740066955,51492
275,740066956,51494
275,740045508,51496
275,740045507,51498
275,740066957,51500
275,740066958,51502
275,740066959,51506
275,740066960,51508
275,740066961,51514
275,740066963,51524
275,740066964,51526
275,740045494,51528
275,740066965,51530
275,740066966,51532
275,740066967,51538
275,740066970,51546
275,740066971,51548
275,740066972,51550
275,740021646,51554
275,740021645,51556
275,740066973,51562
275,740066974,51564
275,740066975,51568
275,740066976,51571
275,740066977,51574
275,740066978,51576
275,740066979,51578
275,740045351,51582
275,740066980,51584
275,740000705,51586
275,740066981,51588
275,740066982,51592
275,740066983,51594
275,740066984,51596
275,740066985,51598
275,740066986,51600
275,740066987,51602
275,740066988,51606
275,740000710,51608
275,740066989,51610
275,740001023,51612
275,740067893,63191
275,740067894,63193
275,740067895,63195
275,740045729,63197
275,740067897,63201
275,740067898,63203
275,740067899,63205
275,740067900,63207
275,740067901,63209
275,740067902,63211
275,740067903,63213
275,740067904,63215
275,740067905,63217
275,740067906,63219
275,740067907,63221
275,740067908,63223
275,740067909,63225
275,740067910,63227
275,740067911,63229
275,740067912,63231
275,740067913,63233
275,740067914,63235
275,740067915,63237
275,740067916,63239
275,740067917,63241
275,740067918,63243
275,740067919,63245
275,740067920,63247
275,740067921,63249
275,740024789,22041
275,740024790,22051
275,740023962,22061
275,740023965,22071
275,740024791,22091
275,740024792,22101
275,740023964,22111
275,740024793,22121
275,740020756,22142
275,740023966,22151
275,740066165,23001
275,740066166,23015
275,740066168,23031
275,740045919,23041
275,740066169,23071
275,740066170,23081
275,740066171,23091
275,740066172,23101
275,740045930,23500
275,740066174,23502
275,740066175,23503
275,740066176,23505
275,740066177,23507
275,740045935,23509
275,740066178,23512
275,740066179,23514
275,740066180,23516
275,740001276,39640
275,740018092,39641
275,740066181,40004
275,740045904,40011
275,740045901,40013
275,740066182,40016
275,740066183,40019
275,740066184,40021
275,740045909,40023
275,740066185,40027
275,740066186,40029
275,740066187,40031
275,740066188,40034
275,740066189,40035
275,740066190,40037
275,740066191,40039
275,740066192,40041
275,740045916,40045
275,740067058,51812
275,740067059,51813
275,740067060,51815
275,740067061,51817
275,740067062,51821
275,740067063,51823
275,740067064,51826
275,740067065,51827
275,740067066,51829
275,740067067,51831
275,740067068,51833
275,740067069,51835
275,740067070,51837
275,740045413,51844
275,740067072,51847
275,740067073,51848
275,740067074,51850
275,740067077,51859
275,740067078,51863
275,740067079,51867
275,740050897,12437
275,740050899,12439
275,740050915,12443
275,740050921,12445
275,740045497,12446
275,740050922,12452
275,740050927,12456
275,740050928,12458
275,740050929,12460
275,740045496,12463
275,740050930,12464
275,740050931,12466
275,740050932,12468
275,740050933,12470
275,740050934,12472
275,740050935,12473
275,740050936,12475
275,740050937,12476
275,740050938,12477
275,740050939,12479
275,740050941,12481
275,740050942,12482
275,740050944,12484
275,740050949,12486
275,740050950,12489
275,740021684,12496
275,740050951,12500
275,740050952,12504
275,740021642,12506
275,740050953,12511
275,740021675,12530
275,740021674,12533
275,740050954,12535
275,740050955,12537
275,740050957,12557
275,740050989,12563
275,740051048,12569
275,740021690,12579
275,740021688,12583
275,740021687,12585
275,740051050,12587
275,740051051,12589
275,740044654,12590
275,740021681,12592
275,740051101,12905
275,740045511,12907
275,740051102,12909
275,740051109,12911
275,740045515,12912
275,740021664,12977
275,740045911,40243
275,740066248,40253
275,740066249,40255
275,740001169,40258
275,740066250,40259
275,740066251,40261
275,740066253,40265
275,740001180,40267
275,740000730,40273
275,740066254,40283
275,740066255,40285
275,740066256,40287
275,740066257,40289
275,740066258,40291
275,740046092,10406
275,740046093,10411
275,740046095,10421
275,740046098,10426
275,740046099,10428
275,740046100,10429
275,740046102,10433
275,740046103,10435
275,740021663,10437
275,740046104,10439
275,740046105,10445
275,740046106,10447
275,740046107,10449
275,740046108,10451
275,740046109,10453
275,740046110,10455
275,740046111,10462
275,740046112,10464
275,740046113,10466
275,740046115,10473
275,740064035,10481
275,740046117,10489
275,740046118,10507
275,740046119,10511
275,740046120,10521
275,740046121,10524
275,740046122,10527
275,740046124,10529
275,740046125,10530
275,740046126,10533
275,740046127,10535
275,740004383,10537
275,740066014,16201
275,740025043,16212
275,740066020,16213
275,740066022,16217
275,740025065,16222
275,740066024,16223
275,740066033,16241
275,740066040,16252
275,740066042,16255
275,740066043,16256
275,740067922,63251
275,740067923,63253
275,740067924,63255
275,740067925,63257
275,740067925,63258
275,740067927,63259
275,740001390,63261
275,740067928,63263
275,740067929,63265
275,740067930,63267
275,740067931,63275
275,740067932,63277
275,740067933,63279
275,740067934,63300
275,740067935,63301
275,740067936,63303
275,740067937,63305
275,740067938,63307
275,740067939,63309
275,740045761,63311
275,740001020,63313
275,740070579,63314
275,740067942,63319
275,740070580,63330
275,740067948,63332
275,740067949,63333
275,740067950,63335
275,740045723,63337
275,740067951,63339
275,740067952,63341
275,740045703,63343
275,740010253,63345
275,740067953,63347
275,740045737,63349
275,740024885,63401
275,740046188,10761
275,740045463,10763
275,740046189,10765
275,740046190,10768
275,740046192,10771
275,740046193,10777
275,740058558,10783
275,740038313,10788
275,740045591,10800
275,740046195,10803
275,740046196,10805
275,740046197,10811
275,740046198,10813
275,740046199,10814
275,740046201,10821
275,740046204,10847
275,740046205,10853
275,740071516,10855
275,740046208,10863
275,740046210,10877
275,740046211,10878
275,740046212,10881
275,740046213,10882
275,740067080,51868
275,740067081,51869
275,740067082,51870
275,740067083,51871
275,740045573,51882
275,740067090,51886
275,740067092,51890
275,740067095,51909
275,740000667,51950
275,740067097,51955
275,740067098,51957
275,740067105,51973
275,740067106,51975
275,740067107,51977
275,740067108,51979
275,740067109,51983
275,740010900,51987
275,740067111,51989
275,740010902,51991
275,740067112,51993
275,740067113,51995
